service_id,date,exception_type
20230820_-----S-_40,20240127,1
20230820_-----S-_44,20240127,1
20230821_-----S-_50,20240127,1
20240101_-----S-_53,20240127,1
20240101_-----S-_99653,20240127,1
20240101_-----S-_64,20240127,1
20220522_------S_4,20240128,1
20230820_------S_39,20240128,1
20230820_------S_43,20240128,1
20240101_------S_52,20240128,1
20240102_------S_65,20240128,1
20240102_------S_93,20240128,1
20220522_MTWTF--_1,20240129,1
20220522_MTWTF--_2,20240129,1
20220522_MTWTF--_3,20240129,1
20230820_MTWTF--_42,20240129,1
20230821_MTWTF--_48,20240129,1
20230821_MTWTF--_49,20240129,1
20240101_M-W-F--_58,20240129,1
20240101_MT--F--_59,20240129,1
20240101_MT-TF--_60,20240129,1
20240101_MTW-F--_61,20240129,1
20240101_MTWT---_62,20240129,1
20240101_MTWTF--_63,20240129,1
20240101_MTWTF--_99663,20240129,1
20240102_M-W-F--_95,20240129,1
20240105_MTWTF--_66,20240129,1
20240105_MTWTF--_67,20240129,1
20220522_MTWTF--_1,20240130,1
20220522_MTWTF--_2,20240130,1
20220522_MTWTF--_3,20240130,1
20230820_MTWTF--_42,20240130,1
20230821_MTWTF--_48,20240130,1
20230821_MTWTF--_49,20240130,1
20240101_MT--F--_59,20240130,1
20240101_MT-TF--_60,20240130,1
20240101_MTW-F--_61,20240130,1
20240101_MTWT---_62,20240130,1
20240101_MTWTF--_63,20240130,1
20240101_MTWTF--_99663,20240130,1
20240105_MTWTF--_66,20240130,1
20240105_MTWTF--_67,20240130,1
20220522_MTWTF--_1,20240131,1
20220522_MTWTF--_2,20240131,1
20220522_MTWTF--_3,20240131,1
20230820_MTWTF--_42,20240131,1
20230821_MTWTF--_48,20240131,1
20230821_MTWTF--_49,20240131,1
20240101_--W----_56,20240131,1
20240101_--WT---_57,20240131,1
20240101_M-W-F--_58,20240131,1
20240101_MTW-F--_61,20240131,1
20240101_MTWT---_62,20240131,1
20240101_MTWTF--_63,20240131,1
20240101_MTWTF--_99663,20240131,1
20240102_M-W-F--_95,20240131,1
20240105_MTWTF--_66,20240131,1
20240105_MTWTF--_67,20240131,1
20220522_MTWTF--_1,20240201,1
20220522_MTWTF--_2,20240201,1
20220522_MTWTF--_3,20240201,1
20230820_MTWTF--_42,20240201,1
20230821_MTWTF--_48,20240201,1
20230821_MTWTF--_49,20240201,1
20240101_---T---_55,20240201,1
20240101_--WT---_57,20240201,1
20240101_MT-TF--_60,20240201,1
20240101_MTWT---_62,20240201,1
20240101_MTWTF--_63,20240201,1
20240101_MTWTF--_99663,20240201,1
20240102_---T---_94,20240201,1
20240105_MTWTF--_66,20240201,1
20240105_MTWTF--_67,20240201,1
20220522_MTWTF--_1,20240202,1
20220522_MTWTF--_2,20240202,1
20220522_MTWTF--_3,20240202,1
20230820_----F--_41,20240202,1
20230820_MTWTF--_42,20240202,1
20230821_MTWTF--_48,20240202,1
20230821_MTWTF--_49,20240202,1
20240101_----F--_54,20240202,1
20240101_----F--_69,20240202,1
20240101_M-W-F--_58,20240202,1
20240101_MT--F--_59,20240202,1
20240101_MT-TF--_60,20240202,1
20240101_MTW-F--_61,20240202,1
20240101_MTWTF--_63,20240202,1
20240101_MTWTF--_99663,20240202,1
20240102_M-W-F--_95,20240202,1
20240105_MTWTF--_66,20240202,1
20240105_MTWTF--_67,20240202,1
20240202_M---F--_9902,20240202,1
20220522_-----S-_5,20240203,1
20230820_-----S-_40,20240203,1
20230820_-----S-_44,20240203,1
20230821_-----S-_50,20240203,1
20240101_-----S-_53,20240203,1
20240101_-----S-_99653,20240203,1
20240101_-----S-_64,20240203,1
20220522_------S_4,20240204,1
20230820_------S_39,20240204,1
20230820_------S_43,20240204,1
20240101_------S_52,20240204,1
20240102_------S_65,20240204,1
20240102_------S_93,20240204,1
