route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
ST.6,20230820_-----S-_44,526116,Hlemmur,,1,4187_6-A,6_f6_1006124_2_51
ST.6,20230820_-----S-_44,526117,Hlemmur,,1,4193_6-C,6_f6_1006124_2_51
ST.6,20230820_-----S-_44,526118,Hlemmur,,1,4190_6-B,6_f6_1006124_2_51
ST.6,20230820_-----S-_44,526119,Hlemmur,,1,4187_6-A,6_f6_1006124_2_51
ST.6,20230820_-----S-_44,526120,Hlemmur,,1,4193_6-C,6_f6_1006124_2_51
ST.6,20230820_-----S-_44,526121,Hlemmur,,1,4190_6-B,6_f6_1006124_2_51
ST.6,20230820_-----S-_44,526122,Hlemmur,,1,4187_6-A,6_f6_1006124_2_51
ST.6,20230820_-----S-_44,526123,Hlemmur,,1,4193_6-C,6_f6_1006124_2_51
ST.6,20230820_-----S-_44,526124,Hlemmur,,1,4190_6-B,6_f6_1006124_2_51
ST.6,20230820_-----S-_44,526125,Hlemmur,,1,4187_6-A,6_f6_1006124_2_51
ST.6,20230820_-----S-_44,526126,Hlemmur,,1,4193_6-C,6_f6_1006124_2_51
ST.6,20230820_-----S-_44,526127,Hlemmur,,1,4190_6-B,6_f6_1006124_2_51
ST.6,20230820_-----S-_44,526128,Hlemmur,,1,4187_6-A,6_f6_1006124_2_51
ST.6,20230820_-----S-_44,526130,Hlemmur,,1,4187_6-A,6_f6_1006124_2_51
ST.6,20230820_-----S-_44,526131,Hlemmur,,1,4190_6-B,6_f6_1006124_2_51
ST.6,20230820_-----S-_44,526132,Hlemmur,,1,4193_6-C,6_f6_1006124_2_51
ST.6,20230820_-----S-_44,526133,Hlemmur,,1,4190_6-B,6_f6_1006124_2_51
ST.6,20230820_MTWTF--_42,525946,Egilshöll,,0,5823_6-A,6_f6_1005866_1_2
ST.6,20230820_MTWTF--_42,525947,Egilshöll,,0,4197_6-D,6_f6_1005866_1_2
ST.6,20230820_MTWTF--_42,525948,Egilshöll,,0,4191_6-B,6_f6_1005866_1_2
ST.6,20230820_MTWTF--_42,525949,Egilshöll,,0,4199_6-F,6_f6_1005866_1_2
ST.6,20230820_MTWTF--_42,525950,Egilshöll,,0,5822_6-E,6_f6_1005866_1_2
ST.6,20230820_MTWTF--_42,525951,Egilshöll,,0,4194_6-C,6_f6_1005866_1_2
ST.6,20230820_MTWTF--_42,525952,Egilshöll,,0,5823_6-A,6_f6_1005866_1_2
